"group" "12:0" "14:0" "14:1n-5" "15:0" "16:0" "16:1n-7" "16:1n-9" "16:2n-4" "16:2n-6" "17:0" "17:1n-7" "17:1n-9" "17:2n-5" "18:0" "18:1n-7" "18:1n-9" "18:2n-6" "18:3n-3" "20:0" "20:1n-9" "20:2n-9" "22:0" "sp" "temp" "salinity"
"13" "13SLT18S2" 0.0234661536946155 0.19439245838379 0.0254940929027922 0.0900984419632769 22.6315118576503 1.69912335085087 0.175271888706696 0.0915469699691174 0.0489602465974077 0.0874910915527641 0.028101443313305 0.0144852800584046 0.0141955744572366 3.35971585674637 0.407326075242339 30.8779817949 39.2724912943467 0.504956862835986 0.143114566977038 0.046642601788063 0.185990995949916 0.0776411011130489 "SL" "T18" "S2"
"14" "14SLT18S2" 0.0320223648262278 0.206366351102357 0.0304974903106932 0.094796365715738 21.5490183620306 1.70404727110998 0.173581549018362 0.0838680983544063 0.0340555308469407 0.0782768917974458 0.0266853040218565 0.0104199758561535 0.0127072876294555 3.46197344176885 0.412224410699536 30.1737086218947 40.9344939322702 0.607154202935383 0.13139335408857 0.0437130694453269 0.12275239850054 0.076243725776733 "SL" "T18" "S2"
"15" "15SLT18S2" 0.0221614061203113 0.185026834117694 0.0273881528467999 0.0869730655287691 20.871654098083 1.66252359876147 0.173527991319419 0.081537248933221 0.0376325764307174 0.0836279476238164 0.0319876899661098 0.0102444235839175 0.0142167510960488 3.37961443334748 0.394932982653473 29.779912148841 42.0617216067438 0.639126589715017 0.139867742400833 0.0422321135500273 0.190880790451361 0.0832098078856973 "SL" "T18" "S2"
"16" "16SLT18S3" 0.0144501794818025 0.291999358553008 0.00405309912294459 0.0858199683858269 24.5404578592235 3.15824532527883 0.136571818273133 0.111724558432473 0.00828241994688678 0.0447603120533881 0.0313674627775712 0.00845864164788437 0.00775375484389401 2.46234582803934 0.371827789104917 37.308601205004 30.8160650751497 0.342927430141312 0.116834987761403 0.0338345665915375 0.0616775953491569 0.0419407648374267 "SL" "T18" "S3"
"17" "17SLT18S3" 0.037167307273914 0.263343969831025 0.00770541736166509 0.0779606933062586 22.396022191602 2.51377909928204 0.128272536079484 0.105156283994488 0.00589237798244978 0.0670824570309667 0.0262890709986221 0.00951845674088041 0.00679889767205744 2.83785988831677 0.360341576619044 33.8272354775546 36.3967655377475 0.552523750815868 0.154561607078106 0.0421531655667561 0.119207339183407 0.0643628979621437 "SL" "T18" "S3"
"18" "18SLT18S3" 0.0108254460840404 0.29321826543761 0.00314287144375366 0.0877675951329726 24.194406387246 3.26788788562742 0.124550831289497 0.127460897441121 0.00558732701111762 0.0769421490489322 0.0277038297634582 0.0102434328537156 0.00488891113472791 2.27357648294061 0.346530677335357 36.1656037165037 32.3659885436516 0.357588928711527 0.115937035480691 0.0389948864317584 0.058666933616735 0.0424869658137069 "SL" "T18" "S3"
"19" "19LDT25S1" 0.0249481922620365 0.119912278936885 0.0631752610506408 0.0639800414461904 26.1022473492546 1.98901474760075 0.257127336378086 0.131983984870129 0.170613443856508 0.197171196909643 0.0325936060197574 0.0217290706798382 0.0265577530531356 2.8593847453876 1.36329799006096 23.3925517574392 42.4738949359194 0.309035671891033 0.0647848218417399 0.0450677021507756 0.241434118664869 0.0494939943262982 "LD" "T25" "S1"
"20" "20LDT25S1" 0.0576289031114066 0.152938242872579 0.160695979829884 0.0781314936414263 25.39051893719 1.77485939101765 0.219433131078048 0.105283572991993 0.102512952650098 0.158479483556368 0.0376804366497659 0.0160695979829884 0.0171778461197462 3.79020862771175 1.33266838445128 23.0149890560496 42.9124761033995 0.252126451112404 0.110824813675782 0.0332474441027346 0.224420247693459 0.0576289031114066 "LD" "T25" "S1"
"21" "21LDT25S1" 0.0245985018065429 0.149761466881011 0.0463030622240808 0.0575894336412005 24.6281647057802 1.87223538161682 0.253075174468492 0.127188724046772 0.158443291048026 0.154391773103419 0.0332803259735581 0.0205469838619358 0.0273477461260977 3.11344684336108 1.12227047065616 23.8395656772763 43.3011768212658 0.338880536652491 0.0959341570455174 0.0949212775593656 0.448705612365233 0.0921720332398108 "LD" "T25" "S1"
"22" "22LDT25S2" 0.0161832587938864 0.316377350725514 0.0882041191216456 0.0650545568734373 24.9435461485452 2.79520246757186 0.266112791955098 0.188304541065287 0.136861069402602 0.0804875983722428 0.0265791270257207 0.0148971720023192 0.0181123889812371 2.45610425019532 0.645937091064591 26.2857920633441 41.016630173954 0.236747143547649 0.113711507154394 0.0430839075174988 0.193770409929447 0.0523008628570632 "LD" "T25" "S2"
